"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC2",-0.130251285908838,0,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC3",-0.130251285908838,-0.325867565579788,0,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC4",-0.130251285908838,-0.325867565579788,1.46955341010497,0,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC5",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,0,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC6",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,0,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC7",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC8",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,0,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC9",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,0,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC10",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,0,-1.72610008780782,0.334807263270509,0.140409211811038,1.29988025992612
"AC11",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,0,0.334807263270509,0.140409211811038,1.29988025992612
"AC12",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0,0.140409211811038,1.29988025992612
"AC13",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0,1.29988025992612
"AC14",-0.130251285908838,-0.325867565579788,1.46955341010497,0.539063599226056,-1.13511274907756,-1.74667445095558,0.801660419135391,1.10212729888876,-0.0308968093408141,-0.592598513692502,-1.72610008780782,0.334807263270509,0.140409211811038,0
