"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC2",-1.44990963534213,0,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC3",-1.44990963534213,1.86481385709766,0,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC4",-1.44990963534213,1.86481385709766,-1.21461933253551,0,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC5",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,0,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC6",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,0,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC7",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,0,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC8",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,0,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC9",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,0,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC10",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0,-0.231157347413793,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC11",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,0,1.91777752097119,-0.555193866908865,-0.500346111283858
"AC12",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,0,-0.555193866908865,-0.500346111283858
"AC13",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,0,-0.500346111283858
"AC14",-1.44990963534213,1.86481385709766,-1.21461933253551,0.184455422812227,-0.66979256585609,-0.505890203093272,-0.132693412355943,1.0776354560928,-0.457139518217415,0.672059736033091,-0.231157347413793,1.91777752097119,-0.555193866908865,0
