AL	AR	AT	AU	BD	BG	BO	BR	BY	CA	CH	CL	CN	CO	DE	DK	EC	ES	FI	FJ	FR	GB	GF	GR	HK	ID	IN	IS	IT	JP	KH	KR	LA	LK	LV	MD	MM	MY	NL	NO	NP	NZ	PE	PH	PT	PY	RO	RS	SE	SG	TH	TW	UA	US	UY	VE	VN
 1125.0433	11936.8590	  487.0755	15624.4954	 7644.5040	 1518.7810	10207.2807	 8877.0603	 1628.8489	 7090.4756	    0.0000	11837.8131	 8477.0724	 8857.4757	  489.8557	 1058.7768	 9914.0504	 1424.8122	 2064.5185	16651.3659	  376.0677	  995.2452	 7383.2695	 1718.6924	 9366.1731	11490.3586	 6979.7466	 2658.2026	  577.9695	 9465.2164	 9491.2788	 9069.3565	 8916.4375	 8069.9180	 1572.5927	 1603.5139	 8256.5750	10439.5291	  571.8248	 1820.7139	 6897.9971	18719.5297	10260.4383	10995.0283	 2184.4853	10343.0116	 1280.8834	 1067.1132	 1563.4151	10370.8393	 9143.3473	 9672.7395	 1823.3448	 7904.6031	11062.2839	 7986.5833	 9494.9158
12402.0819	  816.7659	12297.4000	12370.7626	18041.0928	12959.2322	 1801.1782	 3056.2796	13457.5955	 9429.0964	11837.8131	    0.0000	19700.7875	 4528.3281	12190.3378	12486.2858	 3536.5279	10426.6628	13479.7447	10828.1042	11465.7783	11598.5930	 4615.1252	12671.4181	18767.1210	15991.2601	16831.3847	11556.8545	11898.6982	17526.2634	17732.2869	18240.4683	18273.9846	15904.0359	13296.1944	13309.5781	18139.0494	16877.8461	11944.9269	12826.7689	17703.5910	 9473.7120	 2559.8416	17156.8661	 9693.9298	 1561.3134	12917.2402	12579.0766	12985.2209	16505.3918	17715.4897	18517.1736	13568.0604	 8264.7967	 1470.6222	 4778.1619	18087.8934
 7929.1824	19226.1274	 8020.8062	 7390.8749	 2205.8247	 7372.9317	18410.9061	17280.5106	 6853.8925	10624.4639	 8477.0724	19700.7875	    0.0000	15570.4337	 8117.1701	 7808.6641	16510.5873	 9891.7657	 6802.4591	 8873.6150	 8847.9009	 8693.0354	15651.2933	 7665.4826	 1042.5784	 3874.9176	 3441.4780	 8679.1695	 8426.6649	 2250.2689	 2256.0108	 1542.5836	 1776.8067	 4287.5099	 7005.1558	 7017.3619	 2030.2066	 3042.5048	 8357.2550	 7447.2651	 2599.4974	10256.5456	17513.3910	 2606.3482	10611.4230	18777.0940	 7410.3200	 7749.4803	 7303.1475	 3456.2374	 2331.9076	 1198.0145	 6758.0377	11767.1552	18793.6210	15392.2462	 1858.2900
 9858.2893	 5242.2667	 9334.2483	15406.3050	16231.3745	10354.7859	 2979.5771	 4142.5392	10171.2071	 4985.7462	 8857.4757	 4528.3281	15570.4337	    0.0000	 8991.6321	 9020.4520	 1142.9594	 7767.9493	 9732.0271	12082.0145	 8510.4113	 8179.3961	 2572.0327	10384.5456	16514.1657	18879.5156	15830.0650	 7488.2326	 9214.4031	14164.9705	17756.9508	14595.1162	17136.9941	16812.0696	 9842.2598	10443.0445	16761.6936	18599.5581	 8671.6971	 9040.3052	15557.8229	12350.4756	 1975.5178	17158.6723	 6812.8501	 4161.6685	10138.3153	 9894.1991	 9366.4174	18991.5341	17621.6862	16090.7058	10630.7933	 3927.1906	 5196.2944	 1032.6952	17422.8314
 1315.9223	12331.5900	  507.1880	15374.9131	 7417.4980	 1546.8851	10518.4584	 9271.3612	 1276.4362	 6860.8794	  489.8557	12190.3378	 8117.1701	 8991.6321	    0.0000	  576.6118	10077.3944	 1845.8371	 1581.4582	16162.4543	  779.9046	  854.1712	 7672.2313	 1882.2254	 9035.1444	11275.5235	 6839.0941	 2365.6893	  954.8748	 9017.6270	 9252.9000	 8642.7951	 8660.4261	 8009.6198	 1135.4131	 1470.6442	 8024.0833	10219.2712	  327.9395	 1343.4210	 6678.2942	18366.9912	10490.2926	10668.4620	 2497.2643	10721.1521	 1245.7543	 1160.1605	 1074.1998	10190.7536	 8921.5698	 9307.2482	 1639.9843	 7743.2905	11476.8943	 8164.7621	 9225.7901
 1780.2914	12691.3677	 1002.5377	15162.1690	 7298.7897	 1871.7623	10764.9862	 9643.3478	 1154.5262	 6493.2878	 1058.7768	12486.2858	 7808.6641	 9020.4520	  576.6118	    0.0000	10134.0561	 2313.9543	 1084.1228	15608.6233	 1290.8385	  894.2933	 7906.2246	 2296.5045	 8763.5035	11144.5985	 6835.5852	 1989.1328	 1518.6035	 8564.4060	 9105.6608	 8227.2710	 8494.0187	 8092.3948	  839.6051	 1641.2273	 7893.3755	10088.8454	  610.6753	  767.0820	 6575.6676	17960.0268	10628.3457	10394.1106	 2828.8170	11062.7383	 1546.0306	 1574.2937	  550.9409	10111.4149	 8798.2439	 8984.4260	 1730.3883	 7442.7656	11872.2692	 8254.0942	 9038.1017
10873.1490	 4302.1513	10396.4603	14438.8163	17374.1317	11388.9359	 2249.4041	 3892.3795	11279.8646	 5893.2407	 9914.0504	 3536.5279	16510.5873	 1142.9594	10077.3944	10134.0561	    0.0000	 8753.5055	10869.2541	11372.4557	 9557.6126	 9280.2259	 3059.3491	11373.6300	17335.3735	18482.4217	16888.6756	 8630.9412	10236.0452	14797.3215	18766.4218	15329.8396	18204.1070	17614.1934	10961.8474	11511.9748	17899.6052	19159.7751	 9761.9275	10176.7950	16693.1615	11331.0997	 1019.1623	17415.5299	 7814.0234	 3491.5208	11191.0808	10929.7906	10494.6587	19674.9155	18729.8728	16778.7243	11710.8362	 4743.8907	 4424.0394	 1932.0019	18345.3099
 2133.3555	10512.1018	 1870.9686	16849.1260	 8931.8311	 2675.9463	 8832.2598	 7452.6044	 3052.9891	 7010.4214	 1424.8122	10426.6628	 9891.7657	 7767.9493	 1845.8371	 2313.9543	 8753.5055	    0.0000	 3394.1754	17751.0652	 1069.7368	 1667.0978	 6047.8557	 2621.3770	10760.3824	12723.5966	 8143.9694	 3113.6590	 1523.3968	10861.5961	10779.4093	10486.2444	10232.5448	 9065.3141	 2978.3283	 2920.6183	 9546.2578	11692.3953	 1703.3063	 2980.6585	 8182.2942	19634.7026	 8986.8373	12381.0402	  962.6167	 8921.7070	 2544.0050	 2233.3566	 2863.8652	11557.7048	10410.3347	11088.9626	 3167.6510	 7580.8290	 9639.9324	 6825.7638	10824.0776
 2402.6632	13735.4480	 1821.5385	14190.9481	 6514.1126	 2227.1534	11722.0681	10702.3455	 1015.6342	 6528.8952	 2064.5185	13479.7447	 6802.4591	 9732.0271	 1581.4582	 1084.1228	10869.2541	 3394.1754	    0.0000	14591.2348	 2350.8031	 1911.9183	 8869.9581	 2752.8554	 7785.2623	10298.3035	 6231.1954	 2295.6022	 2391.2569	 7480.5360	 8260.8793	 7151.8725	 7632.2639	 7604.0308	  658.5200	 1789.7000	 7084.1048	 9254.3115	 1693.0778	  693.2622	 5825.8041	16876.3323	11464.8360	 9404.4169	 3892.4240	12099.5466	 1936.8961	 2143.0660	  533.8285	 9342.3340	 7987.2564	 7961.2719	 1710.9994	 7608.8623	12939.1234	 9056.5083	 8145.7807
16641.0041	10975.6397	16377.5759	 3690.8806	10411.6945	16129.6604	12080.0989	13875.1278	15221.9887	11226.0882	16651.3659	10828.1042	 8873.6150	12082.0145	16162.4543	15608.6233	11372.4557	17751.0652	14591.2348	    0.0000	16890.7512	16107.2346	14419.2601	16507.0654	 8222.9034	 7111.7619	11492.1730	14658.5371	16930.5436	 7400.3428	 8700.0594	 7911.9577	 9101.5973	11050.8750	15138.5617	15684.7592	 9834.8834	 7983.4923	16190.1584	14873.0016	11114.3442	 2644.8762	11503.8659	 6764.8762	17448.7540	12388.6534	16066.3544	16405.9138	15088.2586	 8309.9280	 9113.7516	 7718.1826	15424.3043	10951.9073	11930.2436	13114.1804	 8500.0218
