"","AC1","AC2","AC3","AC4","AC5","AC6","AC7","AC8","AC9","AC10","AC11","AC12","AC13","AC14"
"AC1",0,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC2",-0.817466602322791,0,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC3",-0.817466602322791,0.549091747583593,0,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC4",-0.817466602322791,0.549091747583593,-0.507209900824009,0,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC5",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,0,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC6",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC7",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,0,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC8",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC9",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,0,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC10",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,0,1.24270106230478,1.23771428210546,-1.81528134666749,0.453273560401918
"AC11",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,0,1.23771428210546,-1.81528134666749,0.453273560401918
"AC12",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,0,-1.81528134666749,0.453273560401918
"AC13",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,0,0.453273560401918
"AC14",-0.817466602322791,0.549091747583593,-0.507209900824009,0.176098194861098,1.60190781036708,0.198114368371877,-0.249088945612125,0.455085540224897,-1.14858683357449,-1.37635293721974,1.24270106230478,1.23771428210546,-1.81528134666749,0
