taxa	samplingDate	samplingCountry
hCoV-19/Portugal/PT1599/2020|EPI_ISL_693603|Portugal|2020-07-04	2020.5054644808743	Portugal
hCoV-19/Portugal/PT1601/2020|EPI_ISL_693604|Portugal|2020-07-05	2020.5081967213114	Portugal
hCoV-19/Portugal/PT1602/2020|EPI_ISL_693605|Portugal|2020-07-05	2020.5081967213114	Portugal
hCoV-19/Portugal/PT1603/2020|EPI_ISL_693606|Portugal|2020-07-06	2020.5109289617487	Portugal
hCoV-19/Portugal/PT1604/2020|EPI_ISL_693607|Portugal|2020-07-06	2020.5109289617487	Portugal
hCoV-19/Portugal/PT1605/2020|EPI_ISL_693608|Portugal|2020-07-07	2020.5136612021859	Portugal
hCoV-19/Portugal/PT1606/2020|EPI_ISL_693609|Portugal|2020-07-06	2020.5109289617487	Portugal
hCoV-19/Portugal/PT1607/2020|EPI_ISL_693610|Portugal|2020-07-06	2020.5109289617487	Portugal
hCoV-19/Portugal/PT1608/2020|EPI_ISL_693611|Portugal|2020-07-07	2020.5136612021859	Portugal
hCoV-19/Portugal/PT1610/2020|EPI_ISL_693612|Portugal|2020-07-07	2020.5136612021859	Portugal
hCoV-19/Portugal/PT1611/2020|EPI_ISL_693613|Portugal|2020-07-07	2020.5136612021859	Portugal
hCoV-19/Portugal/PT1612/2020|EPI_ISL_693614|Portugal|2020-07-07	2020.5136612021859	Portugal
hCoV-19/Portugal/PT1613/2020|EPI_ISL_693615|Portugal|2020-07-08	2020.516393442623	Portugal
hCoV-19/Portugal/PT1614/2020|EPI_ISL_693616|Portugal|2020-07-08	2020.516393442623	Portugal
hCoV-19/Portugal/PT1615/2020|EPI_ISL_693617|Portugal|2020-07-08	2020.516393442623	Portugal
hCoV-19/Portugal/PT1616/2020|EPI_ISL_693618|Portugal|2020-07-08	2020.516393442623	Portugal
hCoV-19/Portugal/PT1618/2020|EPI_ISL_693619|Portugal|2020-07-09	2020.51912568306	Portugal
hCoV-19/Portugal/PT1619/2020|EPI_ISL_693620|Portugal|2020-07-09	2020.51912568306	Portugal
hCoV-19/Portugal/PT1620/2020|EPI_ISL_693621|Portugal|2020-07-09	2020.51912568306	Portugal
hCoV-19/Portugal/PT1621/2020|EPI_ISL_693622|Portugal|2020-07-09	2020.51912568306	Portugal
hCoV-19/Portugal/PT1622/2020|EPI_ISL_693623|Portugal|2020-07-10	2020.5218579234972	Portugal
hCoV-19/Portugal/PT1623/2020|EPI_ISL_693624|Portugal|2020-07-10	2020.5218579234972	Portugal
hCoV-19/Portugal/PT1624/2020|EPI_ISL_693625|Portugal|2020-07-10	2020.5218579234972	Portugal
hCoV-19/Portugal/PT1625/2020|EPI_ISL_693626|Portugal|2020-07-11	2020.5245901639344	Portugal
hCoV-19/Portugal/PT1627/2020|EPI_ISL_693627|Portugal|2020-07-11	2020.5245901639344	Portugal
hCoV-19/Portugal/PT1628/2020|EPI_ISL_693628|Portugal|2020-07-11	2020.5245901639344	Portugal
hCoV-19/Portugal/PT1629/2020|EPI_ISL_693629|Portugal|2020-07-12	2020.5273224043715	Portugal
hCoV-19/Portugal/PT1701/2020|EPI_ISL_693630|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1702/2020|EPI_ISL_693631|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1708/2020|EPI_ISL_693636|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1711/2020|EPI_ISL_693638|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1712/2020|EPI_ISL_693639|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1716/2020|EPI_ISL_693643|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1717/2020|EPI_ISL_693644|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1718/2020|EPI_ISL_693645|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1719/2020|EPI_ISL_693646|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1720/2020|EPI_ISL_693647|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1721/2020|EPI_ISL_693648|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1722/2020|EPI_ISL_693649|Portugal|2020-08-24	2020.6448087431695	Portugal
hCoV-19/Portugal/PT1731/2020|EPI_ISL_693655|Portugal|2020-08-24	2020.6448087431695	Portugal
